Study Hours,Attendance,Previous Score,Assignment Score,Final Marks
1.5,62,51,58,54
2.0,70,55,61,59
2.5,68,60,65,62
3.0,75,64,69,67
3.5,78,58,72,68
4.0,80,67,74,72
4.5,82,71,77,76
5.0,85,73,80,79
5.5,88,76,83,84
6.0,90,81,86,87
6.5,92,85,89,91
7.0,95,88,92,94
2.2,65,57,63,58
3.2,73,62,68,65
4.2,79,69,75,71
5.2,84,77,81,80
6.2,89,83,87,88
2.8,72,61,66,64
3.8,77,66,71,70
4.8,83,72,78,77
5.8,87,79,84,85
6.8,91,86,90,92
1.8,60,52,57,51
2.7,69,59,64,61
3.7,76,65,70,69
4.7,81,70,76,74
5.7,86,78,82,82
6.7,93,84,88,90
3.4,74,63,67,66
5.1,89,75,80,81
